,condition,distance_between_original_user_in_percentage
IPIjsnT7CiSMVQncweL1,Calibration,3.5405686077657728
IUxXKSYIYbcc25H47xdl,Calibration,5.0080635351325045
Is5PR9qM1oywyNr5cZci,Calibration,2.8250652401119165
JKcVAFPz1brxFq1d6OSv,Calibration,0.6343900416936599
JLTiHKOlmJ70coEn1EO6,Calibration,0.3876928595296295
JLcB8ZimPPz6rzCCoSrL,Calibration,4.18870893003252
JQs85zhsC3R90B9AZtuC,Calibration,3.8934048059566684
Jj6OpRZXSTT0IAxoH5n3,Calibration,7.697321490425313
KHq0bHqXPqX7Bg4MYqt3,Calibration,2.9407354292529164
KXYno4WuaKtkrwVVoavc,Calibration,3.3087237192766668
KdKoSHQFb5eh4n16RLX5,Calibration,1.4630078514126925
L1d4h7Y4nq7JokcEYrzA,Calibration,5.867362712176004
LCbsNqQ7cQXxYb7nizjv,Calibration,3.7102520764742084
LkNpeZ9xDG9Ufc8zw8MN,Calibration,3.534786672651194
M2k2aa8qwDPVcqFtTorz,Calibration,0.7238883143743546
MKX27OLulEfTfAxgXcpL,Calibration,0.501100008385163
MWtx3Uixycyt9zEcoAvN,Calibration,0.4980134397714257
MfSaFpvu0y3KIDhd8Wvj,Calibration,1.0825817855696482
MpngYxDIYyxp4rJk0f2v,Calibration,2.3800316919836635
MrC5aV0leNr0l4muyJCY,Calibration,2.833842634968506
N7HB2IE429NDqDMxsRxJ,Calibration,1.4707628833712618
NCVIMn6S3exxdA1AOVNx,Calibration,2.3800316919836644
NGNvUoOs5S9bTDzQyJoY,Calibration,4.3690008442812855
NjW1PllM8XrifTj8muMV,Calibration,4.060031171898528
Np5MU5H8CeWpu82IkoK2,Calibration,2.756286429569647
O4AuZW1NIzd8xWI1dbtS,Calibration,2.926015702825381
O82p5vEXNCmqqM454ebJ,Calibration,0.2591137898778929
OR9PADLCf919m79EpYRf,Calibration,7.797564243513885
OcElnFErBd3xqgICOeF9,Calibration,2.3438122971299027
PSQ1d6DBTnLkZFcgqgh0,Calibration,2.267942654104656
PlD5Bvmc1O63IffbRPBy,Calibration,3.8187112104795493
PmQ4bIH1jtkSzgtOMSnM,Calibration,4.790958254001283
QEWpACEdrNpxSrOLF7iU,Calibration,4.102214476805178
QNbNM2mItfrgICup9EZl,Calibration,0.5017371272120883
QkYEiYZcH1U5dZ4H20lj,Calibration,2.9411203934907575
QoW1kmElrbawMi8SDVWW,Calibration,1.1723651017413879
Qr445YG2kDVY7xeaxNUR,Calibration,2.2788495861243225
R2MgBEom7AFVCeC2EAgu,Calibration,2.492586095742441
R3WsAgAZa7BpZvb6Qwoj,Calibration,2.9695446879247087
RRgab64fNsdbnBBYqFAI,Calibration,0.5056696069027868
RVZONqo5NppT5w6lyc3O,Calibration,6.675103132047426
RWspaCUVF2QX6bKwZRV8,Calibration,2.9407354292529164
Re7tT9mF8yt5pBFI3GvW,Calibration,2.8704759963868045
S51Q6rZlerIMUcGD8ydm,Calibration,0.8785991600858735
SDcVazjae2z68t1qnUFH,Calibration,3.3863797437665357
STIMuRALnVt4hrrpgNeX,Calibration,2.506392217055879
Sby1zoZJTOb1JOaTV47a,Calibration,3.2047485822447728
T7QE3RchwAERKjwa5mW5,Calibration,1.5891212597742392
TIT8cyuf7xq56RtKdQza,Calibration,4.0591796022564415
TqwIaZkMFEJ3W6zpTltO,Calibration,2.069510838067623
U7QAqW3fTuk0iXCFpnGu,Calibration,0.5196741878126665
UB4PQKISnirSDg5Vq31v,Calibration,2.5992530376623737
UdJPJDabluGSKxjd1wSa,Calibration,5.705599416982669
V3a6qhohmBjhbDHHW4RS,Calibration,5.855778376620111
VBLDlabmXq3NXe6qmu5N,Calibration,0.34784153543811513
VE6Qr9wlgFo8lm3adnOf,Calibration,2.813348958469744
VHqXCTNxgNYMRccTc6aJ,Calibration,4.328360527309956
WKCVnaLtGwBdYYS2SgXd,Calibration,2.243214303439266
WPHpBfuwAnXmZxW7Dh3L,Calibration,3.0863588638224098
WZKZV54MswxH8jRuEk2v,Calibration,4.466324934410169
WzkPV4xuF6Wo7qsObrJw,Calibration,0.5170630816959676
X0H4AxmqzDtlqQGKvDB0,Calibration,2.928156982790747
